19,1198,9,10,5
20,228,6,7,7
21,794,4,9,8
22,205,10,8,5
23,172,9,10,8
24,1771,7,9,9
25,1663,5,10,9
26,143,6,9,5
27,1377,8,10,10
28,491,10,7,5
29,203,7,8,8
30,1277,5,7,5
31,229,4,6,8
32,1758,5,8,10
33,328,10,10,8
34,606,9,10,9
35,366,8,8,10
36,1416,9,7,5
37,1485,8,7,10
38,1148,4,7,7
39,201,9,8,10
40,1160,8,10,8
41,1136,8,10,8
42,1070,5,7,10
43,1422,8,7,10
44,30,5,8,5
45,1408,5,10,5
46,252,6,6,8
47,1772,10,9,9
48,470,10,7,5
49,220,9,6,6
50,344,6,7,6
51,897,8,7,8
52,92,9,6,5
53,1452,4,9,9
54,34,6,9,9
55,70,8,6,6
56,1719,10,8,6
57,148,7,6,6
58,86,5,6,7
59,861,4,6,8
60,167,8,7,9
61,829,8,8,7
62,170,6,7,7
63,465,9,9,6
64,62,5,6,8
65,51,7,7,8
66,989,7,6,5
67,1563,6,6,5
68,132,7,10,5
69,785,7,6,8
70,478,8,10,9
71,896,8,10,9
72,975,6,8,9
73,254,4,7,9
74,544,4,6,10
75,1561,8,9,7
76,1633,8,7,8
77,655,5,9,5
78,718,10,10,6
79,1123,10,10,9
80,398,10,6,9
81,1759,9,8,7
82,277,5,7,8
83,1594,7,8,6
84,294,7,6,5
85,49,5,7,8
86,725,7,6,7
87,1546,4,8,7
88,109,7,9,5
89,44,6,9,8
90,108,5,9,6
91,497,4,9,9
92,112,9,10,6
93,1690,7,9,9
94,1513,8,7,5
95,196,7,8,9
96,1580,6,10,9
97,1267,10,8,9
98,1332,7,8,10
99,793,8,9,8
100,325,7,10,10
101,379,6,10,5
102,1131,4,7,8
103,370,8,7,10
104,1192,7,7,5
105,685,4,6,8
106,1232,4,7,5
107,1326,6,6,6
108,825,5,9,5
109,1167,4,10,9
110,1128,7,8,6
111,701,4,10,9
112,1017,4,6,8
113,114,6,6,5
114,362,9,8,9
115,919,9,7,10
116,217,6,9,7
117,612,5,8,8
118,1398,8,10,5
119,437,4,6,9
120,934,4,6,10
121,1028,6,7,8
122,230,8,7,10
123,668,7,9,6
124,941,5,8,10
125,1240,10,6,9
126,1251,7,7,6
127,904,9,9,9
128,1712,9,9,8
129,495,6,10,7
130,264,8,6,6
131,171,9,6,6
132,268,6,6,7
133,22,6,10,6
134,409,5,10,6
135,1323,8,8,6
136,1593,9,8,6
137,1471,9,9,8
138,526,10,10,7
139,577,6,7,7
140,258,10,10,8
141,695,4,8,5
142,720,10,6,5
143,564,5,6,9
144,95,4,7,6
145,1040,4,8,9
146,1476,4,10,8
147,539,7,7,5
148,64,8,7,6
149,1467,7,8,9
150,323,6,10,6
151,664,5,10,6
152,430,4,7,10
153,246,10,6,6
154,535,4,8,7
155,346,10,7,6
156,354,5,6,8
157,195,7,6,5
158,510,9,8,9
159,1626,9,9,10
160,623,7,6,8
161,756,8,9,9
162,946,9,6,5
163,859,8,7,6
164,747,5,8,6
165,1287,7,10,8
166,704,9,7,7
167,1605,5,7,7
168,992,4,10,5
169,96,9,10,6
170,260,9,8,5
171,40,6,7,9
172,244,4,9,6
173,1558,9,9,9
174,1587,7,9,8
175,289,5,6,10
176,1149,9,9,5
177,321,8,7,10
178,1090,4,9,9
179,1316,7,9,8
180,1020,9,9,6
181,636,10,9,8
182,1035,8,9,5
183,462,4,9,8
184,867,7,9,7
185,1421,4,10,5
186,928,5,7,5
187,1152,4,9,5
188,1373,10,6,10
189,1515,4,8,6
190,710,5,8,10
191,822,4,6,10
192,1602,4,6,10
193,1754,6,7,5
194,663,4,7,10
195,1549,9,8,5
196,1337,4,7,10
197,341,4,6,6
198,502,9,10,8
199,1185,8,7,5
200,1409,7,7,7
201,1394,4,7,9
202,876,6,8,8
203,1598,5,6,6
204,912,6,10,6
